iters,reward
101,-1.0
101,-0.5
101,-1.5
101,0.0
101,1.5
101,0.0
59,-2.25
101,-0.5
101,0.0
101,-1.0
76,2.48
83,1.0
81,2.25
101,0.52
101,-2.0
17,3.5
95,-2.5
101,1.5
46,4.15
38,-1.0
101,-0.5
59,-2.25
25,2.83
77,4.0
101,-1.0
78,-1.12
41,4.25
61,-1.5
101,0.25
101,0.27
101,-2.77
101,-1.25
91,0.85
101,3.05
101,4.45
85,-2.48
73,-1.25
62,2.3
68,2.38
52,2.75
37,1.75
64,-1.75
61,-2.75
101,-1.0
68,-1.75
91,1.75
101,-2.5
87,-1.24
89,-2.75
59,5.0
101,-2.48
74,1.1
101,1.75
67,-2.73
37,-1.75
101,-1.5
97,-1.02
65,3.5
101,1.88
34,3.5
40,-2.5
101,-0.12
94,1.1
64,-1.12
101,-1.0
59,2.75
101,-1.9
57,-2.23
101,1.27
35,-2.23
68,2.35
63,-2.75
101,-1.12
40,3.5
101,-2.38
101,-0.99
69,1.17
101,1.6
63,2.5
101,4.5
62,-1.75
68,4.0
101,-1.75
44,-1.75
101,1.6
59,-2.52
78,3.75
59,-1.75
101,0.88
101,-2.55
100,0.25
83,2.05
86,-2.25
101,1.0
101,-0.25
101,-1.5
59,3.4
37,2.3
65,2.45
87,-1.43
