iters,reward
80,-1.5
70,1.02
34,1.25
101,1.02
101,0.5
101,3.25
28,2.77
69,2.75
55,-2.7
42,3.5
62,3.5
101,-2.23
101,-0.05
39,4.95
101,-2.75
21,4.35
59,4.5
59,3.75
64,2.45
101,-2.38
101,1.0
44,4.5
52,-2.75
101,2.53
101,0.28
70,2.77
21,4.5
38,-2.38
27,4.5
65,3.0
101,-1.0
50,2.25
101,0.38
65,2.3
38,2.55
101,2.15
55,2.53
80,2.3
101,0.95
91,-2.25
58,1.75
101,2.65
101,1.65
101,-1.12
49,-1.75
77,-1.0
101,-0.47
66,1.75
55,3.5
57,-1.75
28,1.75
72,-2.77
101,-1.38
34,-1.75
101,-3.25
79,2.83
101,-0.58
101,3.25
30,-1.75
58,-2.38
72,4.35
81,1.25
88,1.68
101,0.0
101,1.75
53,1.25
70,-2.38
38,4.75
94,2.8
36,3.0
101,-1.75
40,3.0
101,-2.88
33,1.25
26,2.3
40,-1.75
101,-1.75
101,1.7
66,-0.97
34,3.2
49,-1.75
34,-0.25
41,-1.93
95,-2.05
59,3.0
48,4.5
101,2.0
63,4.25
101,-1.12
101,-1.62
42,-2.23
63,-0.25
52,-1.0
82,3.15
41,-1.75
101,2.3
70,1.4
101,2.85
101,0.0
101,-2.98
