iters,reward
40,3.7
75,2.3
48,4.25
37,5.0
82,-2.38
29,-1.75
101,2.75
52,-2.75
26,4.15
21,4.2
52,5.4
33,3.7
66,3.5
33,4.0
101,-2.0
87,0.7
101,1.82
101,2.75
101,-1.68
26,2.3
26,2.3
101,3.5
52,2.5
95,-2.25
61,-2.75
101,0.45
78,-1.48
62,-2.67
57,4.33
46,-1.75
101,-0.25
64,2.73
101,3.0
101,1.5
33,4.75
64,-1.12
78,0.7
87,0.12
33,-2.1
59,-2.73
101,-1.75
62,1.25
22,3.0
101,-2.25
37,-0.75
19,4.5
101,0.32
79,-2.75
62,-2.5
89,4.72
24,4.05
101,-2.0
101,2.77
56,1.0
77,-0.25
101,-2.38
69,3.35
39,-1.75
44,-0.25
54,1.88
31,4.15
37,3.35
101,-2.0
101,-2.5
101,-0.65
74,5.0
101,-2.25
101,0.5
87,-0.65
94,-2.25
101,-0.05
95,-2.88
23,4.0
101,2.0
62,-1.25
89,0.0
101,4.75
53,1.75
64,4.25
101,1.25
51,1.0
70,-2.75
21,3.5
57,2.77
101,1.02
101,1.02
88,-2.75
24,3.25
101,-2.25
101,1.23
101,1.62
39,-1.75
53,4.0
101,-2.5
101,2.75
71,-1.25
84,0.25
53,-1.75
63,2.77
51,0.5
